"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//42107-the-young-lady-of-the-general-s-house","General's Lady","8.2","Chinese",2020,30,"Historical,Comedy,Romance,Political","Duration: 45 min.","Viki,YOUKU (<U+4F18><U+9177>),YoYo English Channel,YoYo TV,YOUKU","Luo Li Na","Wu Qiang","Tang Min,Caesar Wu,Cao Jun Xiang,Eve Lu,William Yang,Liu Yin Jun"
"https://mydramalist.com//27397-handsome-siblings","Handsome Siblings","8.2","Chinese",2020,44,"Historical,Comedy,Romance,Wuxia","Duration: 46 min.","Netflix","Zou Ji Cheng,Bai Yun Mo","","Chen Zhe Yuan,Hu Yi Tian,Vicky Liang,Liang Jie,Gallen Lo,Tay Ping Hui"
"https://mydramalist.com//20804-my-fair-lady","Oh My Geum Bi","8.2","Korean",2016,16,"Comedy,Drama,Family,Melodrama","Duration: 60 min.","","Kim Young Jo","Lee Myung Hee","Heo Jung Eun,Oh Ji Ho,Park Jin Hee,Oh Yoon Ah,Park Min Soo,Kang Ji Woo"
"https://mydramalist.com//50941-the-man-s-memory","Find Me in Your Memory","8.2","Korean",2020,32,"Romance,Drama,Melodrama","Duration: 35 min.","Netflix,Kocowa,Viki,Apple TV","Kim Yoon Joo","Oh Hyun Jong,Lee Soo Hyun","Kim Dong Wook,Moon Ga Young,Kim Seul Gi,Yoon Jong Hoon,Jang Young Nam,Lee Jin Hyuk"
"https://mydramalist.com//11107-doctor-x-3","Doctor X  3","8.2","Japanese",2014,11,"Drama,Medical","Duration: 45 min.","Netflix","Matsuda Hidetomo,Tamura Naomi","","Yonekura Ryoko,Uchida Yuki,Kishibe Ittoku,Kumabe Yohei,Koshimura Tomokazu,Kinoshita Takayuki"
"https://mydramalist.com//79393-heaven-and-hell","Tengoku to Jigoku: Psychona Futari","8.2","Japanese",2021,10,"Mystery,Comedy,Drama,Supernatural","Duration: 54 min.","Viki,TVer","Morishita Yoshiko","","Ayase Haruka,Takahashi Issei,Emoto Tasuku,Kitamura Kazuki,Mizobata Junpei,Tani Kyosuke"
"https://mydramalist.com//681019-i-told-sunset-about-you-part-2","I Promised You the Moon","8.2","Thai",2021,5,"Romance,School,Youth,Drama","Duration: 1 hr. 5 min.","","Meen Tossaphon Riantong","","Billkin Putthipong Assaratanakul,PP Krit Amnuaydechkorn,Oab Oabnithi Wiwattanawarang,Goy Arachaporn Pokinpakorn,Na Naphat Vikairungroj,Ta Taninrat Wadsriwat"
"https://mydramalist.com//79563-bu-hui-lian-ai-de-wo-men","Why Women Love","8.2","Chinese",2022,24,"Business,Comedy,Romance","Duration: 45 min.","Viki,YOUKU","Crescent","Gao Cong Kai,Chen Rong Hui","Gina Jin,Wang Zi Yi,Simona Wang,Liang Da Wei,Yakisa,Zheng Miao"
"https://mydramalist.com//2985-hanazakari-no-kimitachi-e","Hanazakari no Kimitachi e","8.2","Japanese",2007,12,"Comedy,Romance,Youth,Drama","Duration: 45 min.","Viki","Muto Shogo","","Horikita Maki,Oguri Shun,Ikuta Toma,Mizushima Hiro,Yamamoto Yusuke,Okada Masaki"
"https://mydramalist.com//35629-nagi-no-oitoma","Nagi no Oitoma","8.2","Japanese",2019,10,"Romance,Life","Duration: 54 min.","","Oshima Satomi","Doi Nobuhiro,Tsuboi Toshio,Yamamoto Takeyoshi","Kuroki Haru,Takahashi Issei,Nakamura Tomoya,Ichikawa Mikako,Mita Yoshiko,Yoshida Yoh"
